Datetime,Open,High,Low,Close,Adj Close,Volume
2022-03-19 20:30:00+00:00,42018.875,42022.93359375,42017.37890625,42022.93359375,42022.93359375,0
2022-03-19 20:35:00+00:00,42048.92578125,42111.39453125,42048.92578125,42111.39453125,42111.39453125,16943104
2022-03-19 20:40:00+00:00,42184.1484375,42267.9453125,42175.734375,42267.9453125,42267.9453125,156313600
2022-03-19 20:45:00+00:00,42261.953125,42261.953125,42241.625,42253.578125,42253.578125,207341568
2022-03-19 20:50:00+00:00,42267.23828125,42267.23828125,42241.2109375,42250.84375,42250.84375,62146560
2022-03-19 20:55:00+00:00,42277.4765625,42277.4765625,42255.3359375,42255.3359375,42255.3359375,44210176
2022-03-19 21:00:00+00:00,42247.95703125,42247.95703125,42223.30859375,42227.53125,42227.53125,0
2022-03-19 21:05:00+00:00,42224.95703125,42241.70703125,42224.95703125,42241.70703125,42241.70703125,0
2022-03-19 21:10:00+00:00,42235.6171875,42235.6171875,42210.15234375,42210.15234375,42210.15234375,0
2022-03-19 21:15:00+00:00,42204.6953125,42211.4296875,42204.6953125,42211.4296875,42211.4296875,0
2022-03-19 21:20:00+00:00,42212.19140625,42231.203125,42212.19140625,42231.203125,42231.203125,2887680
2022-03-19 21:25:00+00:00,42265.3359375,42287.51171875,42264.12109375,42287.51171875,42287.51171875,56508416
2022-03-19 21:30:00+00:00,42294.390625,42314.80859375,42294.390625,42312.98046875,42312.98046875,11204608
2022-03-19 21:35:00+00:00,42309.69140625,42309.69140625,42299.7578125,42307.109375,42307.109375,0
2022-03-19 21:40:00+00:00,42314.83203125,42316.5546875,42302.09375,42302.09375,42302.09375,8296448
2022-03-19 21:45:00+00:00,42282.1953125,42282.1953125,42263.05859375,42263.05859375,42263.05859375,0
2022-03-19 21:50:00+00:00,42248.53125,42248.53125,42240.99609375,42246.2265625,42246.2265625,2000896
2022-03-19 21:55:00+00:00,42255.578125,42255.578125,42180.484375,42180.484375,42180.484375,20924416
2022-03-19 22:00:00+00:00,42180.0703125,42180.0703125,42146.38671875,42147.8203125,42147.8203125,0
2022-03-19 22:05:00+00:00,42127.41796875,42127.41796875,42099.4375,42099.4375,42099.4375,0
2022-03-19 22:10:00+00:00,42005.66015625,42005.66015625,41907.44140625,41907.44140625,41907.44140625,21700608
2022-03-19 22:15:00+00:00,41895.8359375,41895.8359375,41799.046875,41799.046875,41799.046875,26411008
2022-03-19 22:20:00+00:00,41817.13671875,41830.390625,41794.54296875,41794.54296875,41794.54296875,129595392
2022-03-19 22:25:00+00:00,41799.00390625,41807.390625,41799.00390625,41807.390625,41807.390625,58300416
2022-03-19 22:30:00+00:00,41824.96484375,41824.96484375,41800.75390625,41800.75390625,41800.75390625,27189248
2022-03-19 22:35:00+00:00,41804.7734375,41818.08203125,41804.7734375,41812.49609375,41812.49609375,32946176
2022-03-19 22:40:00+00:00,41809.33984375,41811.796875,41799.7578125,41799.7578125,41799.7578125,0
2022-03-19 22:45:00+00:00,41820.59765625,41873.453125,41820.59765625,41861.80078125,41861.80078125,45320192
2022-03-19 22:50:00+00:00,41873.50390625,41929.03125,41873.50390625,41929.03125,41929.03125,73795584
2022-03-19 22:55:00+00:00,41935.91796875,41959.12109375,41935.91796875,41954.71875,41954.71875,67651584
